trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-30.264509916494973,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-85.6909543012305,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-90.49607323564194,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-64.5973143737332,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-195.06903224465046,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-115.12116678180702,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-157.74185231388,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-33.09216366312214,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-47.31793506387326,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-117.81777909893688,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-22.591486742995354,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,12,-30.658221735509773,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-78.01522962412227,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-74.11610287224363,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,24.5419608853263,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-38.778443452748235,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,6.483364029786841,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,6.946420799106225,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,16,19.017986253949896,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,3.884425322684219,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,14.466730172026491,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,39.162368258511115,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,18.9664989803062,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,3.109783895480243,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,3,24.69368760300933,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,35.53517501466005,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,16,21.844283092668466,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,2,32.087433551540116,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,29.736029540718373,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,21.9877775440434,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
