trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.9999500004166653}",25,0,-154.1129958491072,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 1, 'e': 0.9998000066665778}",25,0,-97.9157092664394,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 1, 'e': 0.9995500337489875}",25,0,-178.30571746281035,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
4,False,"{'a': 1, 'e': 0.9992001066609779}",30,22,-12.083163230362906,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 1, 'e': 0.9987502603949663}",20,0,-117.59732263963345,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 1, 'e': 0.9982005399352042}",20,0,-195.47072463942584,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 1, 'e': 0.9975510002532796}",30,0,-182.69513965517658,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 1, 'e': 0.9968017063026194}",25,0,-158.52354485912377,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 1, 'e': 0.9959527330119943}",20,0,-158.28269935517284,"{0: 9, 1: 0, 2: 7, 3: 3, 4: 1}",0
10,False,"{'a': 1, 'e': 0.9950041652780257}",20,0,-102.47423973403525,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 1, 'e': 0.9939560979566968}",20,0,-67.13013648907047,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 1, 'e': 0.9928086358538663}",25,0,-108.72474828428315,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 1, 'e': 0.9915618937147881}",25,0,-163.33947856627645,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 1, 'e': 0.9902159962126371}",30,0,-130.76636004497263,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 1, 'e': 0.9887710779360422}",20,0,-97.50035287834366,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 1, 'e': 0.9872272833756269}",30,0,-163.2231267923159,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 1, 'e': 0.9855847669095608}",30,0,-136.21187818869268,"{0: 16, 1: 1, 2: 11, 3: 2, 4: 0}",0
18,False,"{'a': 1, 'e': 0.9838436927881214}",20,0,-159.73534322459489,"{0: 9, 1: 0, 2: 7, 3: 3, 4: 1}",0
19,False,"{'a': 1, 'e': 0.9820042351172703}",35,0,-77.43881734852931,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 1, 'e': 0.9800665778412416}",20,0,-201.1822457738873,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
21,False,"{'a': 1, 'e': 0.9780309147241483}",20,0,-76.56644949244028,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
22,False,"{'a': 1, 'e': 0.9758974493306055}",25,0,-115.54498578840756,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 1, 'e': 0.9736663950053749}",20,0,-142.71676354551317,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
24,False,"{'a': 1, 'e': 0.9713379748520297}",25,0,-139.2957896672773,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
25,False,"{'a': 1, 'e': 0.9689124217106447}",30,11,-149.66650362395114,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 2}",1
26,False,"{'a': 1, 'e': 0.9663899781345132}",20,0,-35.85208772206874,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 1, 'e': 0.9637708963658905}",20,12,-40.52458880215053,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 1, 'e': 0.9610554383107709}",25,0,-25.38956973950404,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 1, 'e': 0.9582438755126972}",20,0,-54.653247394943044,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 1, 'e': 0.955336489125606}",25,0,-204.49960720246528,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
31,False,"{'a': 1, 'e': 0.9523335698857134}",20,0,-70.73976396378391,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 1, 'e': 0.9492354180824408}",25,0,-104.31952368052767,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 1, 'e': 0.946042343528387}",25,0,-48.98442418915733,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 1, 'e': 0.9427546655283462}",25,0,-76.03508383688256,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 1, 'e': 0.9393727128473789}",25,0,-227.75065353200534,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
36,False,"{'a': 1, 'e': 0.9358968236779348}",25,0,-73.6869414500749,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 1, 'e': 0.9323273456060345}",25,0,-112.14238192910088,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 1, 'e': 0.9286646355765102}",30,0,-160.42396216342223,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
39,False,"{'a': 1, 'e': 0.9249090598573131}",20,0,-90.10417046372102,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 1, 'e': 0.9210609940028851}",25,0,-136.09647625728266,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
41,False,"{'a': 1, 'e': 0.9171208228166051}",20,0,-140.81684259744486,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
42,False,"{'a': 1, 'e': 0.9130889403123083}",20,0,-67.36136653742881,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 1, 'e': 0.9089657496748851}",35,0,-240.38004882713292,"{0: 21, 1: 2, 2: 6, 3: 2, 4: 4}",0
44,False,"{'a': 1, 'e': 0.9047516632199635}",35,0,-147.42957763931165,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
45,False,"{'a': 1, 'e': 0.9004471023526769}",20,0,-191.5276651878043,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
46,False,"{'a': 1, 'e': 0.8960524975255253}",30,0,-165.09289636615367,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
47,False,"{'a': 1, 'e': 0.8915682881953289}",20,0,-128.75743553033467,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 1, 'e': 0.8869949227792842}",20,0,-49.76544869394738,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
49,False,"{'a': 1, 'e': 0.8823328586101216}",20,0,-23.169442519093476,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
50,False,"{'a': 1, 'e': 0.8775825618903728}",20,12,-13.5763584536068,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 1, 'e': 0.8727445076457513}",25,0,-169.24040592410864,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
52,False,"{'a': 1, 'e': 0.8678191796776499}",20,0,-160.85060792809426,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
53,False,"{'a': 1, 'e': 0.862807070514761}",30,0,-113.75181805012045,"{0: 19, 1: 3, 2: 4, 3: 4, 4: 0}",0
54,False,"{'a': 1, 'e': 0.8577086813638242}",25,0,-57.76230456804707,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 1, 'e': 0.8525245220595057}",25,4,-62.57711138867311,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 1, 'e': 0.8472551110134161}",25,8,-40.41294912203444,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
57,False,"{'a': 1, 'e': 0.8419009751622687}",20,0,-45.80205997004123,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 1, 'e': 0.8364626499151869}",20,0,-108.43257208706851,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
59,False,"{'a': 1, 'e': 0.8309406791001634}",20,0,-215.76376852092773,"{0: 7, 1: 1, 2: 6, 3: 4, 4: 2}",0
60,False,"{'a': 1, 'e': 0.8253356149096783}",20,0,-134.00621281458888,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 1, 'e': 0.8196480178454795}",20,0,-124.78144365633368,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
62,False,"{'a': 1, 'e': 0.8138784566625339}",30,0,-116.75634978214866,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 0}",0
63,False,"{'a': 1, 'e': 0.8080275083121519}",35,0,-103.9823336915049,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
64,False,"{'a': 1, 'e': 0.8020957578842927}",25,0,-115.03636468578915,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
65,False,"{'a': 1, 'e': 0.7960837985490559}",25,0,-107.93498976396143,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
