trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.40333859308734,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,14,-82.17793473923162,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.42571567223963,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.311362614144336,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.1385762272436,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.2615181207124,"{0: 20, 1: 1, 2: 3, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.16136805094358,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.24713509014875,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-275.5389920457404,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.58603324587213,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.119310787916643,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.27187965084009,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.8801545259414,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.5793302734237,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.68795702940332,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.02222942994476,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,8,-99.78814916663846,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.2319499811023,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.992927347305645,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.69229890468773,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.07646280696352,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.5944302382451,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.8990342031315,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.54874061238051,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-83.79930794459493,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
